run,density_pct,temp_c,pattern,mean_peak_force_N,std_peak_force_N,mean_uts_mpa,std_uts_mpa,n_replicates
1,60.0,260.0,Triangle-Hexa,173.223,19.263,14.435,1.605,3
2,45.8579,254.142,Triangle,149.505,5.942,12.459,0.495,3
3,60.0,240.0,Grid,152.114,0.178,12.676,0.015,3
4,74.1421,225.858,Triangle,164.032,3.125,13.669,0.261,3
5,45.8579,225.858,Triangle-Hexa,132.991,3.848,11.083,0.32,3
6,60.0,240.0,Triangle,167.318,8.913,13.943,0.743,3
7,45.8579,225.858,Grid,116.363,4.707,9.697,0.392,3
8,40.0,240.0,Triangle-Hexa,128.407,14.578,10.701,1.215,3
9,74.1421,254.142,Grid,212.532,40.733,17.711,3.394,3
10,60.0,240.0,Triangle-Hexa,151.683,19.977,12.64,1.665,3
11,74.1421,254.142,Triangle-Hexa,203.231,27.906,16.936,2.325,3
12,40.0,240.0,Grid,113.03,1.973,9.419,0.165,3
13,45.8579,254.142,Triangle-Hexa,163.137,3.786,13.595,0.315,3
14,45.8579,225.858,Triangle,100.999,1.752,8.416,0.146,3
15,60.0,240.0,Triangle-Hexa,174.149,9.033,14.512,0.753,3
16,60.0,240.0,Triangle-Hexa,169.872,12.259,14.156,1.022,3
17,74.1421,225.858,Grid,164.036,8.888,13.67,0.741,3
18,74.1421,254.142,Triangle,215.067,12.813,17.922,1.068,3
19,60.0,240.0,Triangle,166.408,7.71,13.867,0.643,3
20,60.0,220.0,Triangle,128.395,3.546,10.699,0.296,3
21,60.0,220.0,Grid,126.461,4.014,10.539,0.334,3
22,60.0,240.0,Grid,130.591,1.596,10.882,0.133,3
23,40.0,240.0,Triangle,125.715,3.917,10.476,0.327,3
24,80.0,240.0,Triangle,209.297,22.555,17.441,1.88,3
25,60.0,240.0,Grid,140.837,0.928,11.737,0.077,3
26,80.0,240.0,Triangle-Hexa,208.096,12.912,17.342,1.076,3
27,60.0,260.0,Grid,166.864,1.423,13.905,0.119,3
28,74.1421,225.858,Triangle-Hexa,174.873,19.376,14.573,1.615,3
29,80.0,240.0,Grid,221.696,20.176,18.475,1.681,3
30,45.8579,254.142,Grid,150.932,3.872,12.578,0.323,3
31,60.0,240.0,Triangle,171.126,2.737,14.261,0.228,3
32,60.0,260.0,Triangle,177.103,12.482,14.759,1.04,3
33,60.0,220.0,Triangle-Hexa,145.546,8.475,12.129,0.706,3
