run,file,density_pct,temp_c,pattern,peak_force_N,uts_mpa
1,Plan pokusa 15.11.2024 raw data.csv,60.0,260.0,Triangle-Hexa,171.868,14.322
1,Plan pokusa 26.11.2024.csv,60.0,260.0,Triangle-Hexa,193.127,16.094
1,Plan pokusa-6.11.2024.csv,60.0,260.0,Triangle-Hexa,154.673,12.889
2,Plan pokusa 15.11.2024 raw data.csv,45.8579,254.142,Triangle,149.113,12.426
2,Plan pokusa 26.11.2024.csv,45.8579,254.142,Triangle,155.633,12.969
2,Plan pokusa-6.11.2024.csv,45.8579,254.142,Triangle,143.768,11.981
3,Plan pokusa 15.11.2024 raw data.csv,60.0,240.0,Grid,152.05,12.671
3,Plan pokusa 26.11.2024.csv,60.0,240.0,Grid,151.977,12.665
3,Plan pokusa-6.11.2024.csv,60.0,240.0,Grid,152.316,12.693
4,Plan pokusa 15.11.2024 raw data.csv,74.1421,225.858,Triangle,164.425,13.702
4,Plan pokusa 26.11.2024.csv,74.1421,225.858,Triangle,166.942,13.912
4,Plan pokusa-6.11.2024.csv,74.1421,225.858,Triangle,160.729,13.394
5,Plan pokusa 15.11.2024 raw data.csv,45.8579,225.858,Triangle-Hexa,132.394,11.033
5,Plan pokusa 26.11.2024.csv,45.8579,225.858,Triangle-Hexa,137.103,11.425
5,Plan pokusa-6.11.2024.csv,45.8579,225.858,Triangle-Hexa,129.477,10.79
6,Plan pokusa 15.11.2024 raw data.csv,60.0,240.0,Triangle,166.273,13.856
6,Plan pokusa 26.11.2024.csv,60.0,240.0,Triangle,176.708,14.726
6,Plan pokusa-6.11.2024.csv,60.0,240.0,Triangle,158.974,13.248
7,Plan pokusa 15.11.2024 raw data.csv,45.8579,225.858,Grid,115.697,9.641
7,Plan pokusa 26.11.2024.csv,45.8579,225.858,Grid,121.368,10.114
7,Plan pokusa-6.11.2024.csv,45.8579,225.858,Grid,112.025,9.335
8,Plan pokusa 15.11.2024 raw data.csv,40.0,240.0,Triangle-Hexa,127.886,10.657
8,Plan pokusa 26.11.2024.csv,40.0,240.0,Triangle-Hexa,114.096,9.508
